DATA;ANO;MÊS;PERIODO;PIS/PASEP;COFINS;ICMS;DEMANDA_CONTRATADA_P;DEMANDA_CONTRATADA_FP;DEMANDA_REGISTRADA_P;DEMANDA_REGISTRADA_FP;DEMANDA_ISENTA_P;DEMANDA_ISENTA_FP;TAR_TUSD_KW_P;TAR_TUSD_KW_FP;ENERGIA_PONTA;ENERGIA_FPONTA;TAR_TUSD_KWH_P;TAR_TUSD_KWH_FP;TAR_TE_KWH_P;TAR_TE_KWH_FP;REAT_KVAR_PONTA;REAT_KVAR_FPONTA;TAR_REAT_PONTA;TAR_REAT_FPONTA;Valor da Fatura;Consumo Total;Acrescimo_Bamar;Acrescimo_Bverm1;Acrescimo_Bverm2;Energ_Atv_Inj_P;Energ_Atv_Inj_FP;TAR_INJ_KWH_P;TAR_INJ_KWH_FP
01/01/2015;2015;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/02/2015;2015;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/2015;2015;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2015;2015;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/05/2015;2015;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2015;2015;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2015;2015;7;30;0,01491;0,068662;0,17;1150;1150;326,88;452,16;;;;13,72;18631;163858;1,37161;0,2838;;;3129;23040;0,21605;0,21605;140514,01;182489;;10036,89;;;;;
01/08/2015;2015;8;31;0,002263;0,010418;0,17;1150;1150;349,92;508,32;;;;13,72;19146;180714;1,3761;0,2838;;;2315;17152;0,21605;0,21605;127804,52;199860;;10992,3;;;;;
01/09/2015;2015;9;31;0,0038;0,017762;0,17;1150;1150;424,8;675,36;;;;13,72;19577;196611;1,3761;0,2838;;;807;10341;0,21605;0,21605;1288520,95;216188;;10286,35;;;;;
01/10/2015;2015;10;33;0,010334;0,04759;0,17;1150;1150;833,76;1401,12;;;;13,72;27480;259659;1,3761;0,2838;;;1083;15704;0,21605;0,21605;195058,38;287139;;12921,25;;;;;
01/11/2015;2015;11;31;0,011599;0,053401;0,17;1150;1150;790,56;1180,8;;;;13,72;34090;279297;1,37161;0,2838;;;966;12445;0,21605;0,21605;195375,59;313387;;14102,41;;;;;
01/12/2015;2015;12;30;0,01266;0,05188;0,17;1150;1150;744,48;1175,04;;;;13,72;25678;225398;1,37161;0,2838;;;2352;17353;0,21605;0,21605;168211,06;251076;;11298,42;;;;;
01/01/2016;2016;1;31;0,011582;0,053369;0,17;1150;1150;787,68;1356,48;;;;13,72;15949;186982;1,37161;0,2838;;;2228;19733;0,21605;0,21605;138304,67;202931;;9131,89;;;;;
01/02/2016;2016;2;31;0,01516;0,053056;0,17;1150;1150;849,6;1424,16;;;;13,72;36099;299151;1,37161;0,2838;;;2899;27651;0,21605;0,21605;224199,7;335250;;10868,58;;;;;
01/03/2016;2016;3;29;0,01269;0,055575;0,17;1150;1150;835;1252,8;;;;13,72;35109;280526;1,37161;0,2838;;;4622;45961;0,21605;0,21605;216430,95;315635;4204,8;1059,42;;;;;
01/04/2016;2016;4;31;0,009697;0,044641;0,17;1150;1150;852,48;1408,32;;;;14,30887;38565;334499;1,434794;0,297603;;;1440;17650;0,230815;0,230815;232330,47;373064;906,12;;;;;;
01/05/2016;2016;5;30;0,006703;0,030884;0,17;1150;1150;465,12;691,2;;;;14,68;24210;187561;1,4747;0,30632;;;2559;19239;0,24014;0,24014;136352,71;211771;;;;;;;
01/06/2016;2016;6;31;0,010513;0,048435;0,17;1600;1600;436,32;466,52;;;;14,68;21979;182486;1,4747;0,30632;;;3216;23167;0,24014;0,24014;135575,88;204465;;;;;;;
01/07/2016;2016;7;30;0,013015;0,059929;0,17;1600;1600;573,12;921,6;;;;14,68;27754;214458;1,4747;0,30632;;;1472;18458;0,24014;0,24014;166915,02;242212;;;;;;;
01/08/2016;2016;8;31;0,00567;0,02784;0,17;1600;1600;718,56;1131,84;;;;14,68;32211;236770;1,4747;0,30632;;;1622;17554;0,24014;0,24014;174230,57;268981;;;;;;;
01/09/2016;2016;9;31;0,008208;0,038707;0,17;1600;1600;604,8;112032;;;;14,68;26695;229937;1,4747;0,30632;;;1675;21700;0,24014;0,24014;170238,42;256632;;;;;;;
01/10/2016;2016;10;30;0,006458;0,0539;0,17;1600;1600;632,16;1041,12;;;;14,68;26766;246767;1,4747;0,30632;;;2431;19751;0,24014;0,24014;174107,17;273533;;;;;;;
01/11/2016;2016;11;31;0,007915;0,036453;0,17;1600;1600;815,04;1163,52;;;;14,68;31577;264165;1,4747;0,30632;;;3092;212393;0,24014;0,24014;191961,27;295742;3793,58;;;;;;
01/12/2016;2016;12;30;0,012855;0,059214;0,17;1600;1600;751,68;1208,16;;;;14,68;27831;244137;1,4747;0,30632;;;2981;23853;0,24014;0,24014;185160,59;271968;;;;;;;
01/01/2017;2017;1;31;0,013218;0,060872;0,17;1600;1600;724,32;1111,68;;;;14,68;24256;240877;1,4747;0,30632;;;4973;26696;0,24014;0,24014;184479,24;265133;;;;;;;
01/02/2017;2017;2;31;0,009459;0,043567;0,17;1600;1600;833,76;1454,4;;;;14,68;41178;339429;1,4747;0,30632;;;1465;18013;0,24014;0,24014;237049,98;380607;;;;;;;
01/03/2017;2017;3;28;0,008345;0,03436;0,17;1600;1600;807,84;1444,32;;;;14,68;34056;300435;1,4747;0,30632;;;1843;18202;0,24014;0,24014;211642,17;334491;6212;;;;;;
01/04/2017;2017;4;31;0,007548;0,034779;0,17;1600;1600;756;1072,8;;;;16,230645;28195;256794;1,464044;0,233007;;;504;4539;0,184368;0,184368;161834,88;284989;919,3;7170,72;;;;;
01/05/2017;2017;5;30;0,00984;0,045331;0,17;1600;1600;669,6;1124,64;;;;17,21;28808;236021;1,542485;0,271875;;;;;;;174087,42;264829;;7944,87;;;;;
01/06/2017;2017;6;31;0,012556;0,057805;0,17;1600;1600;610,56;980,64;;;;17,21;26877;233504;1,55168;0,28107;;;;;;;161072,03;260381;;1259,88;;;;;
01/07/2017;2017;7;30;0,007345;0,03822;0,17;1600;1600;525,6;708,48;;;;17,21;28277;220574;1,55168;0,28107;;;;;;;163386,52;248851;4313,44;;;;;;
01/08/2017;2017;8;30;0,007292;0,033589;0,17;1600;1600;660,96;1105,92;;;;17,21;31486;243694;1,55168;0,28107;;;;100;;0,24351;181223,09;275180;887,66;6923,91;;;;;
01/09/2017;2017;9;31;0,005543;0,025529;0,17;1600;1600;735,84;1285,92;;;;17,21;30394;292586;1,55168;0,28107;;;;76;;0,24351;192197,3;322980;5417,74;1562,79;;;;;
